Run	Diet	Source
BKCM01	CHOW	Cecal
BKCM02	CHOW	Cecal
BKCM03	CHOW	Cecal
BKCM04	CHOW	Cecal
BKCM05	CHOW	Cecal
BKCM06	CHOW	Cecal
BKCM07	CHOW	Cecal
BKCM13	HFD	Cecal
BKCM14	HFD	Cecal
BKCM15	HFD	Cecal
BKCM16	HFD	Cecal
BKCM21	CHOW	Cecal
BKCM22	CHOW	Cecal
BKCM24	CHOW	Cecal
BKCM25	HFD	Cecal
BKCM27	HFD	Cecal
BKCM28	HFD	Cecal
BKCM29	HFD	Cecal
BKCM31	HFD	Cecal
BKCM32	HFD	Cecal
